record_id,study,trial_or_accession,population,design,arm,n,schedule_or_sampling,endpoint,landmark_week,estimate,unit,numerator,denominator,ci_level,ci_low,ci_high,comparison_effect,comparator,qualifier,provenance_url
gse272993_deposited_cohort,GSE272993,GSE272993,stage IV melanoma,longitudinal observational single-cell,mixed checkpoint blockade,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,deposited_cohort_size,,32,patients,,,,,,,none,GEO overall-design count,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272993
gse272993_sampling_cadence,GSE272993,GSE272993,stage IV melanoma,longitudinal observational single-cell,mixed checkpoint blockade,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,nominal_sampling_interval,,3,weeks,,,,,,,none,Nominal cadence; actual per-patient availability must be checked,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272993
gse272993_melanoma_cd8_week3,GSE272993-associated study,GSE272993,stage IV melanoma,longitudinal observational single-cell,mixed checkpoint blockade,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,reported_melanoma_specific_CD8_response_time_anchor,3,3,week,,,,,,,none,Melanoma-specific CD8 T-cell responses were reported at weeks 3 and 6,https://doi.org/10.1016/j.ccell.2024.08.007
gse272993_melanoma_cd8_week6,GSE272993-associated study,GSE272993,stage IV melanoma,longitudinal observational single-cell,mixed checkpoint blockade,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,reported_melanoma_specific_CD8_response_time_anchor,6,6,week,,,,,,,none,Melanoma-specific CD8 T-cell responses were reported at weeks 3 and 6,https://doi.org/10.1016/j.ccell.2024.08.007
gse272993_combo_wave_week6,GSE272993-associated study,GSE272993,stage IV melanoma,longitudinal observational single-cell,anti-PD-1 plus anti-CTLA-4,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,reported_combination_clonal_response_time_anchor,6,6,week,,,,,,,single-agent anti-PD-1 or anti-CTLA-4,Combination therapy had greater clonal-response magnitude at weeks 6 and 9,https://doi.org/10.1016/j.ccell.2024.08.007
gse272993_combo_wave_week9,GSE272993-associated study,GSE272993,stage IV melanoma,longitudinal observational single-cell,anti-PD-1 plus anti-CTLA-4,32,PBMC scRNA+TCR+ADT at baseline and every 3 weeks,reported_combination_clonal_response_time_anchor,9,9,week,,,,,,,single-agent anti-PD-1 or anti-CTLA-4,Combination therapy had greater clonal-response magnitude at weeks 6 and 9,https://doi.org/10.1016/j.ccell.2024.08.007
opacin_neo_a_path_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm A,30,ipilimumab 3 mg/kg plus nivolumab 1 mg/kg q3w x2; surgery at week 6,pathological_response,6,80,percent,24,30,95,61,92,,none,Published pRR with less than 50 percent viable tumor; includes MPR and partial pathological response,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_a_mpr,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm A,30,ipilimumab 3 mg/kg plus nivolumab 1 mg/kg q3w x2; surgery at week 6,major_pathological_response,6,70.0,percent,21,30,,,,,none,MPR is 10 percent or less residual viable tumor and is a subset of pRR,https://doi.org/10.1016/S1470-2045(19)30151-2
opacin_neo_a_radiologic_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm A,30,ipilimumab 3 mg/kg plus nivolumab 1 mg/kg q3w x2; surgery at week 6,radiological_objective_response,6,63,percent,19,30,95,44,80,,none,RECIST objective response reported at week 6,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_a_toxicity,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm A,30,ipilimumab 3 mg/kg plus nivolumab 1 mg/kg q3w x2; surgery at week 6,grade_3_4_immune_related_adverse_event,12,40,percent,12,30,,,,,none,Events within the first 12 weeks,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_b_path_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm B,30,ipilimumab 1 mg/kg plus nivolumab 3 mg/kg q3w x2; surgery at week 6,pathological_response,6,77,percent,23,30,95,58,90,,none,Published pRR with less than 50 percent viable tumor; includes MPR and partial pathological response; selected lower-toxicity regimen,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_b_mpr,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm B,30,ipilimumab 1 mg/kg plus nivolumab 3 mg/kg q3w x2; surgery at week 6,major_pathological_response,6,63.3,percent,19,30,,,,,none,MPR is 10 percent or less residual viable tumor and is a subset of pRR,https://doi.org/10.1016/S1470-2045(19)30151-2
