dataset_id,species,disease,modality,design,accession,access,role,url
dog10k_aging_dog,dog,aging,bulk_RNA,30_cross_sectional_ages,PRJCA016985,open,comparative_expression,https://file.kiz.ac.cn/dog10k/dog_count_both_ortholog_cpm.txt
dog10k_aging_human,human,aging,bulk_RNA,527_cross_sectional_ages,GSE94438+GSE112087+GSE123658+GSE134080,open,comparative_expression,https://file.kiz.ac.cn/dog10k/human_count_both_ortholog_cpm.txt
canine_heart_failure,dog,heart_failure,microarray,5_point_tachypacing_time_course,GSE9794,open,longitudinal_method_development,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9794/matrix/GSE9794_series_matrix.txt.gz
canine_osteosarcoma_pbmc,dog,osteosarcoma,scRNA-seq,7_healthy_10_cancer_dogs,GSE225599,open,comparative_immune_state,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225599
human_pdac_rna_vaccine,human,pancreatic_cancer,scRNA-seq_plus_TCR,5_vaccine_associated_T_cell_samples,GSE222011,open,cancer_vaccine_response,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222011
human_hcc_vaccine_pembro,human,hepatocellular_carcinoma,scRNA-seq,personalized_vaccine_plus_pembrolizumab,GSE255830,open,cancer_vaccine_combination,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255830
human_melanoma_neovax,human,melanoma,WES_plus_RNA,longitudinal_personal_vaccine,phs001451.3.1,controlled,immune_escape_validation,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001451.v3.p1
canine_toxocara,dog,infection,bulk_RNA,infected_and_control_at_4_times,PRJNA673639,open,immune_dynamics_transfer,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA673639
human_mrna_dense_timecourse,human,healthy_vaccination,bulk_RNA,23_subject_prime_boost_daily_timecourse,GSE190001,open,volterra_kernel_validation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001
human_tb_two_dose,human,healthy_vaccination,microarray,two_doses_30_days_apart_dense_postboost,GSE102459,open,external_kernel_replication,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102459
alphafold_canine_proteome,dog,na,predicted_protein_structure,one_static_model_per_uniprot_entry,UP000002254,open,structure_confidence_signal,https://alphafold.ebi.ac.uk/api/prediction/
canine_histiocytic_sarcoma_cell_lines,dog,histiocytic_sarcoma,bulk_RNA,11_cell_lines_two_molecular_subtypes,PRJDB17594,open,mapk_target_expression_context,https://ddbj.nig.ac.jp/resource/bioproject/PRJDB17594
human_melanoma_checkpoint_waves,human,metastatic_melanoma,scRNA-seq_plus_TCR_plus_ADT,32_patient_longitudinal_PD1_CTLA4_and_combination,GSE272993,open,melanoma_checkpoint_system_identification,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272993
canine_osteosarcoma_cotc021,dog,appendicular_osteosarcoma,clinical_plus_bulk_RNA_plus_NanoString,152_dog_sirolimus_plus_amputation_carboplatin_cohort,COTC021,open,completed_randomized_non_RNA_timing_anchor_no_significant_outcome_difference,https://caninecommons.cancer.gov/#/study/COTC021
canine_osteosarcoma_cotc022,dog,appendicular_osteosarcoma,clinical_plus_bulk_RNA_plus_NanoString,157_dog_amputation_carboplatin_contemporaneous_SOC_cohort,COTC022,open,canine_current_standard_of_care_outcome_anchor,https://caninecommons.cancer.gov/#/study/COTC022
canine_osteosarcoma_cotc021_022_bulk,dog,appendicular_osteosarcoma,bulk_RNA-seq,186_primary_tumors_split_93_COTC021_93_COTC022,GSE238110,open,comparative_prognostic_and_state_emission_modeling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238110
canine_osteosarcoma_cotc026,dog,appendicular_osteosarcoma,aggregate_clinical_plus_correlative_transcriptomics,118_dog_single_arm_HER2_Listeria_vaccine_with_historical_SOC_comparator,PMID39955616,aggregate_only,completed_non_RNA_historical_control_benchmark_no_significant_outcome_difference,https://pubmed.ncbi.nlm.nih.gov/39955616/
canine_osteosarcoma_tumor_atlas,dog,osteosarcoma,scRNA-seq,6_treatment_naive_primary_tumors_8_libraries_with_technical_replicates,GSE252470,open,tumor_immune_state_emission_atlas,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252470
canine_osteosarcoma_cotc030,dog,appendicular_osteosarcoma,bulk_RNA-seq,26_primary_tumors_from_adjuvant_inhaled_IL15_trial,GSE304066,open,completed_non_RNA_historical_control_timing_guardrail_and_tumor_state_anchor,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304066
canine_osteosarcoma_spatial,dog,osteosarcoma,spatial_transcriptomics,14_primary_metastatic_or_recurrent_samples_from_11_dogs,GSE299494,open,spatial_escape_and_microenvironment_mapping,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299494
human_target_osteosarcoma,human,osteosarcoma,clinical_plus_multiomics,clinical_gene_expression_copy_number_and_sequencing_with_modality_specific_access,TARGET-OS,mixed,comparative_antigen_and_outcome_modeling,https://datacatalog.ccdi.cancer.gov/dataset/TARGET-OS
canine_osteosarcoma_rna_lpa_pilot,dog,osteosarcoma,aggregate_clinical,5_dog_total_tumor_RNA_LPA_early_feasibility_series,JITC2023_A1519,aggregate_only,completed_abstract_only_RNA_platform_feasibility_not_efficacy,https://jitc.bmj.com/content/11/Suppl_1/A1519
canine_osteosarcoma_rna_pd1_trial,dog,appendicular_osteosarcoma,trial_registry,currently_enrolling_RNA_nanoparticle_plus_anti_PD1_study,UF_CVM_RNA_OSA,registry_only,recruiting_RNA_study_no_posted_outcomes_prospective_validation_target,https://research.vetmed.ufl.edu/research-programs/clinical-trials/small-animal/mrna-vaccine-study-for-dogs-with-appendicular-osteosarcoma-currently-enrolling/
human_osteosarcoma_rna_prime,human,recurrent_osteosarcoma,trial_registry,phase_1_2_active_not_recruiting_pp65_bridge_then_personalized_total_tumor_mRNA_RNA_LP,NCT05660408,registry_only,active_not_recruiting_RNA_study_no_posted_outcomes_future_validation_target,https://clinicaltrials.gov/study/NCT05660408
canine_osteosarcoma_cos33,dog,appendicular_osteosarcoma,microarray_plus_clinical_DFI,33_pretreatment_primary_tumors_with_amputation_and_chemotherapy_outcomes,GSE76127,open,real_static_prognostic_sensitivity_not_survival_HSMM_or_vaccine_dynamics,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76127
